series;time;value
"ruche-g2elab.S6";"2018-07-16T16:16:00+02:00";26,6
"ruche-g2elab.S6";"2018-07-16T16:18:00+02:00";26,6
"ruche-g2elab.S6";"2018-07-16T16:20:00+02:00";26,824
"ruche-g2elab.S6";"2018-07-16T16:22:00+02:00";27,049
"ruche-g2elab.S6";"2018-07-16T16:24:00+02:00";27,273
"ruche-g2elab.S6";"2018-07-16T16:26:00+02:00";27,498
"ruche-g2elab.S6";"2018-07-16T16:28:00+02:00";27,722
"ruche-g2elab.S6";"2018-07-16T16:30:00+02:00";27,946
"ruche-g2elab.S6";"2018-07-16T16:32:00+02:00";28,171
"ruche-g2elab.S6";"2018-07-16T16:34:00+02:00";28,395
"ruche-g2elab.S6";"2018-07-16T16:36:00+02:00";28,62
"ruche-g2elab.S6";"2018-07-16T16:38:00+02:00";28,844
"ruche-g2elab.S6";"2018-07-16T16:40:00+02:00";29,068
"ruche-g2elab.S6";"2018-07-16T16:42:00+02:00";29,293
"ruche-g2elab.S6";"2018-07-16T16:44:00+02:00";29,517
"ruche-g2elab.S6";"2018-07-16T16:46:00+02:00";29,741
"ruche-g2elab.S6";"2018-07-16T16:48:00+02:00";29,966
"ruche-g2elab.S6";"2018-07-16T16:50:00+02:00";30,19
"ruche-g2elab.S6";"2018-07-16T16:52:00+02:00";30,415
"ruche-g2elab.S6";"2018-07-16T16:54:00+02:00";30,639
"ruche-g2elab.S6";"2018-07-16T16:56:00+02:00";30,863
"ruche-g2elab.S6";"2018-07-16T16:58:00+02:00";31,088
"ruche-g2elab.S6";"2018-07-16T17:00:00+02:00";31,312
"ruche-g2elab.S6";"2018-07-16T17:02:00+02:00";31,537
"ruche-g2elab.S6";"2018-07-16T17:04:00+02:00";31,761
"ruche-g2elab.S6";"2018-07-16T17:06:00+02:00";31,985
"ruche-g2elab.S6";"2018-07-16T17:08:00+02:00";32,21
"ruche-g2elab.S6";"2018-07-16T17:10:00+02:00";32,434
"ruche-g2elab.S6";"2018-07-16T17:12:00+02:00";32,659
"ruche-g2elab.S6";"2018-07-16T17:14:00+02:00";32,883
"ruche-g2elab.S6";"2018-07-16T17:16:00+02:00";33,107
"ruche-g2elab.S6";"2018-07-16T17:18:00+02:00";33,332
"ruche-g2elab.S6";"2018-07-16T17:20:00+02:00";33,556
"ruche-g2elab.S6";"2018-07-16T17:22:00+02:00";33,78
"ruche-g2elab.S6";"2018-07-16T17:24:00+02:00";34,005
"ruche-g2elab.S6";"2018-07-16T17:26:00+02:00";34,229
"ruche-g2elab.S6";"2018-07-16T17:28:00+02:00";34,454
"ruche-g2elab.S6";"2018-07-16T17:30:00+02:00";34,678
"ruche-g2elab.S6";"2018-07-16T17:32:00+02:00";34,902
"ruche-g2elab.S6";"2018-07-16T17:34:00+02:00";35,127
"ruche-g2elab.S6";"2018-07-16T17:36:00+02:00";35,351
"ruche-g2elab.S6";"2018-07-16T17:38:00+02:00";35,576
"ruche-g2elab.S6";"2018-07-16T17:40:00+02:00";35,8
"ruche-g2elab.S6";"2018-07-16T17:42:00+02:00";35,753
"ruche-g2elab.S6";"2018-07-16T17:44:00+02:00";35,706
"ruche-g2elab.S6";"2018-07-16T17:46:00+02:00";35,659
"ruche-g2elab.S6";"2018-07-16T17:48:00+02:00";35,612
"ruche-g2elab.S6";"2018-07-16T17:50:00+02:00";35,566
"ruche-g2elab.S6";"2018-07-16T17:52:00+02:00";35,519
"ruche-g2elab.S6";"2018-07-16T17:54:00+02:00";35,472
"ruche-g2elab.S6";"2018-07-16T17:56:00+02:00";35,425
"ruche-g2elab.S6";"2018-07-16T17:58:00+02:00";35,378
"ruche-g2elab.S6";"2018-07-16T18:00:00+02:00";35,331
"ruche-g2elab.S6";"2018-07-16T18:02:00+02:00";35,284
"ruche-g2elab.S6";"2018-07-16T18:04:00+02:00";35,237
"ruche-g2elab.S6";"2018-07-16T18:06:00+02:00";35,19
"ruche-g2elab.S6";"2018-07-16T18:08:00+02:00";35,144
"ruche-g2elab.S6";"2018-07-16T18:10:00+02:00";35,097
"ruche-g2elab.S6";"2018-07-16T18:12:00+02:00";35,05
"ruche-g2elab.S6";"2018-07-16T18:14:00+02:00";35,003
"ruche-g2elab.S6";"2018-07-16T18:16:00+02:00";34,956
"ruche-g2elab.S6";"2018-07-16T18:18:00+02:00";34,909
"ruche-g2elab.S6";"2018-07-16T18:20:00+02:00";34,862
"ruche-g2elab.S6";"2018-07-16T18:22:00+02:00";34,815
"ruche-g2elab.S6";"2018-07-16T18:24:00+02:00";34,768
"ruche-g2elab.S6";"2018-07-16T18:26:00+02:00";34,722
"ruche-g2elab.S6";"2018-07-16T18:28:00+02:00";34,675
"ruche-g2elab.S6";"2018-07-16T18:30:00+02:00";34,628
"ruche-g2elab.S6";"2018-07-16T18:32:00+02:00";34,581
"ruche-g2elab.S6";"2018-07-16T18:34:00+02:00";34,534
"ruche-g2elab.S6";"2018-07-16T18:36:00+02:00";34,487
"ruche-g2elab.S6";"2018-07-16T18:38:00+02:00";34,44
"ruche-g2elab.S6";"2018-07-16T18:40:00+02:00";34,393
"ruche-g2elab.S6";"2018-07-16T18:42:00+02:00";34,346
